                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7168,                 5.2351,                 2.9008,                0.43907,                0.21743,                0.17281,                0.07107,                 4.2851,                 3.9763,                   2.88,             0.00036951,             0.00036951,             0.00036951
                      2,                 4.3786,                 3.7977,                 2.7365,                0.29695,                0.27487,                0.23602,                  0.095,                  4.322,                 3.5596,                 2.9005,             0.00071055,             0.00071055,             0.00071055
                      3,                 4.3015,                  3.533,                 2.7217,                0.40546,                0.30581,                 0.2862,                0.12161,                 4.1866,                 3.4221,                 2.8075,              0.0010223,              0.0010223,              0.0010223
                      4,                 4.2656,                 3.3351,                  2.696,                 0.4172,                0.36317,                0.32872,                 0.1445,                 4.0832,                 3.1984,                 2.7493,             0.00097901,             0.00097901,             0.00097901
                      5,                 4.1875,                 3.1947,                 2.6504,                0.45323,                0.37863,                0.36947,                0.17143,                 3.9994,                 2.9802,                 2.6883,             0.00093502,             0.00093502,             0.00093502
                      6,                  4.139,                 3.0847,                 2.6266,                0.53623,                0.37775,                 0.3942,                0.18558,                 3.9655,                 2.9763,                 2.6693,             0.00089102,             0.00089102,             0.00089102
                      7,                 4.1091,                 2.9974,                 2.6001,                0.51072,                0.40059,                0.42286,                0.19686,                 3.9731,                 2.9233,                 2.6439,             0.00084703,             0.00084703,             0.00084703
                      8,                 4.0598,                 2.9195,                 2.5832,                0.50216,                0.43355,                0.44167,                0.20776,                 3.9196,                 2.7534,                 2.6347,             0.00080303,             0.00080303,             0.00080303
                      9,                  4.028,                 2.8579,                 2.5572,                0.54673,                0.44008,                0.46186,                0.21504,                  3.973,                 2.8466,                 2.6484,             0.00075904,             0.00075904,             0.00075904
                     10,                 4.0014,                 2.8072,                  2.552,                0.55504,                0.45518,                0.49051,                0.23504,                 3.8923,                 2.6817,                 2.6189,             0.00071504,             0.00071504,             0.00071504
                     11,                   3.97,                 2.7624,                 2.5385,                0.60767,                0.44776,                0.49921,                0.23807,                 3.8711,                  2.646,                 2.5929,             0.00067104,             0.00067104,             0.00067104
                     12,                 3.9411,                 2.7168,                 2.5236,                0.56587,                0.48103,                 0.5094,                0.24733,                 3.8196,                 2.5895,                 2.5728,             0.00062705,             0.00062705,             0.00062705
                     13,                   3.92,                 2.6776,                 2.5151,                0.63458,                0.48407,                0.53794,                0.26533,                 3.8298,                 2.5267,                 2.5773,             0.00058305,             0.00058305,             0.00058305
                     14,                 3.8991,                  2.639,                 2.4931,                0.62506,                0.52223,                0.55341,                0.27419,                 3.7936,                 2.4858,                 2.5574,             0.00053906,             0.00053906,             0.00053906
                     15,                 3.8896,                  2.598,                 2.4849,                0.64422,                0.52634,                0.57228,                0.28496,                 3.7807,                 2.4674,                 2.5552,             0.00049506,             0.00049506,             0.00049506
                     16,                 3.8464,                  2.495,                 2.5057,                0.63232,                0.51313,                0.56156,                0.27814,                  3.781,                 2.4766,                 2.5559,             0.00045107,             0.00045107,             0.00045107
                     17,                 3.8093,                 2.4376,                 2.4961,                0.64102,                0.53109,                0.58243,                0.29228,                 3.7685,                 2.4129,                 2.5496,             0.00040707,             0.00040707,             0.00040707
                     18,                 3.7799,                 2.4051,                  2.475,                0.65404,                  0.549,                0.59333,                0.29682,                 3.7468,                 2.4009,                 2.5331,             0.00036307,             0.00036307,             0.00036307
                     19,                 3.7553,                 2.3586,                 2.4647,                0.69003,                 0.5453,                0.61572,                0.31005,                 3.7133,                 2.3528,                 2.5171,             0.00031908,             0.00031908,             0.00031908
                     20,                 3.7277,                 2.3163,                 2.4487,                0.69887,                0.54493,                0.61303,                0.31858,                 3.7094,                  2.315,                   2.52,             0.00027508,             0.00027508,             0.00027508
                     21,                 3.7061,                 2.2866,                 2.4467,                0.68634,                0.57012,                0.62763,                0.32116,                 3.7056,                 2.3116,                  2.517,             0.00023109,             0.00023109,             0.00023109
                     22,                 3.6801,                 2.2475,                 2.4326,                0.70099,                0.55119,                0.62421,                 0.3214,                 3.7011,                 2.3163,                 2.5033,             0.00018709,             0.00018709,             0.00018709
                     23,                 3.6523,                 2.2251,                 2.4166,                 0.7079,                 0.5516,                0.63161,                 0.3261,                 3.6922,                 2.2657,                 2.5038,              0.0001431,              0.0001431,              0.0001431
                     24,                 3.6276,                 2.1911,                 2.4023,                 0.6916,                0.58289,                0.64154,                0.33199,                   3.69,                 2.2387,                 2.5014,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                 3.6099,                 2.1724,                 2.3955,                0.73498,                0.57071,                0.64868,                0.33665,                 3.6771,                  2.251,                 2.4928,             5.5106e-05,             5.5106e-05,             5.5106e-05
